DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	SourceGroup
COLOR	#000000
LEGEND_TITLE	Source
LEGEND_SHAPES	1	1	1	1
LEGEND_COLORS	#e41a1c	#377eb8	#4daf4a	#984ea3
LEGEND_LABELS	Clinical	Bovine	Produce	Avian
DATA
GCA_012819355.1_Clinical	#e41a1c
GCA_021166015.1_Produce	#4daf4a
GCA_021184125.1_Clinical	#e41a1c
GCA_012191205.2_Bovine	#377eb8
GCA_012148685.1_Clinical	#e41a1c
GCA_012092775.2_Clinical	#e41a1c
GCA_004231525.3_Clinical	#e41a1c
GCA_012091855.2_Clinical	#e41a1c
GCA_011833915.1_Bovine	#377eb8
GCA_002195475.1_Bovine	#377eb8
GCA_012392045.2_Clinical	#e41a1c
GCA_012824515.2_Clinical	#e41a1c
GCA_012722755.2_Clinical	#e41a1c
GCA_026671015.2_Produce	#4daf4a
GCA_030761495.2_Avian	#984ea3
GCA_012778035.2_Bovine	#377eb8
GCA_012136965.2_Clinical	#e41a1c
GCA_012017725.2_Clinical	#e41a1c
GCA_011953435.2_Clinical	#e41a1c
GCA_011860765.2_Clinical	#e41a1c
GCA_011861605.2_Clinical	#e41a1c
GCA_032499945.2_Clinical	#e41a1c
GCA_012741275.1_Bovine	#377eb8
GCA_012438845.2_Clinical	#e41a1c
GCA_012019445.2_Clinical	#e41a1c
GCA_011840145.2_Clinical	#e41a1c
GCA_025375455.2_Clinical	#e41a1c
GCA_012369445.2_Clinical	#e41a1c
GCA_015286565.2_Bovine	#377eb8
GCA_000747455.1_Bovine	#377eb8
GCA_015699465.1_Clinical	#e41a1c
GCA_012777515.2_Clinical	#e41a1c
GCA_017268535.2_Clinical	#e41a1c
GCA_030722125.2_Bovine	#377eb8
GCA_012750655.2_Clinical	#e41a1c
GCA_047802525.1_Clinical	#e41a1c
GCA_029714465.3_Bovine	#377eb8
GCA_014559605.2_Bovine	#377eb8
GCA_025305355.2_Clinical	#e41a1c
GCA_012829095.2_Bovine	#377eb8
GCA_012717695.2_Clinical	#e41a1c
GCA_020381505.2_Clinical	#e41a1c
GCA_012714745.2_Clinical	#e41a1c
GCA_012302805.2_Clinical	#e41a1c
GCA_012266065.2_Clinical	#e41a1c
GCA_012260345.1_Clinical	#e41a1c
GCA_014955645.2_Clinical	#e41a1c
GCA_023003305.2_Clinical	#e41a1c
GCA_020914765.2_Produce	#4daf4a
GCA_020914705.2_Produce	#4daf4a
GCA_020979445.2_Produce	#4daf4a
GCA_020978845.2_Produce	#4daf4a
GCA_020979465.2_Produce	#4daf4a
GCA_021003695.2_Produce	#4daf4a
GCA_021005645.2_Clinical	#e41a1c
GCA_024891135.2_Clinical	#e41a1c
GCA_011830295.2_Bovine	#377eb8
GCA_013685255.2_Clinical	#e41a1c
GCA_014387465.2_Clinical	#e41a1c
GCA_021184915.2_Clinical	#e41a1c
GCA_042153485.2_Clinical	#e41a1c
GCA_047838695.1_Clinical	#e41a1c
GCA_017759235.2_Clinical	#e41a1c
GCA_017683585.2_Bovine	#377eb8
GCA_028667335.2_Clinical	#e41a1c
GCA_029825875.2_Bovine	#377eb8
GCA_031589575.2_Clinical	#e41a1c
GCA_029585815.1_Bovine	#377eb8
GCA_032830935.1_Clinical	#e41a1c
GCA_031545225.1_Clinical	#e41a1c
GCA_031997305.1_Clinical	#e41a1c
GCA_012425765.2_Bovine	#377eb8
GCA_012144365.2_Clinical	#e41a1c
GCA_012047315.2_Clinical	#e41a1c
GCA_014096495.2_Bovine	#377eb8
GCA_014242775.2_Bovine	#377eb8
GCA_014455235.2_Clinical	#e41a1c
GCA_015202325.2_Clinical	#e41a1c
GCA_011817985.2_Bovine	#377eb8
GCA_014979465.2_Clinical	#e41a1c
GCA_012020605.2_Bovine	#377eb8
GCA_019347555.2_Bovine	#377eb8
GCA_019544495.2_Clinical	#e41a1c
GCA_019681615.2_Clinical	#e41a1c
GCA_020041825.2_Clinical	#e41a1c
GCA_020349605.2_Clinical	#e41a1c
GCA_012211705.2_Clinical	#e41a1c
GCA_012025385.2_Clinical	#e41a1c
GCA_011957145.2_Clinical	#e41a1c
GCA_029128165.2_Bovine	#377eb8
GCA_027996165.2_Bovine	#377eb8
GCA_027917935.2_Bovine	#377eb8
GCA_029648545.2_Bovine	#377eb8
GCA_032439805.2_Clinical	#e41a1c
GCA_040723375.2_Clinical	#e41a1c
GCA_019785505.2_Clinical	#e41a1c
GCA_025616425.2_Bovine	#377eb8
GCA_037981075.2_Clinical	#e41a1c
GCA_040337995.2_Clinical	#e41a1c
GCA_024871825.2_Bovine	#377eb8
GCA_032367475.2_Clinical	#e41a1c
GCA_037561345.2_Clinical	#e41a1c
GCA_012808965.2_Bovine	#377eb8
GCA_012767535.2_Clinical	#e41a1c
GCA_013705125.1_Bovine	#377eb8
GCA_016492925.1_Bovine	#377eb8
GCA_018621535.1_Clinical	#e41a1c
GCA_032893465.2_Clinical	#e41a1c
