Isolate,Source
GCA_012819355.1,Clinical
GCA_021166015.1,Produce
GCA_021184125.1,Clinical
GCA_012191205.2,Bovine
GCA_012148685.1,Clinical
GCA_012092775.2,Clinical
GCA_004231525.3,Clinical
GCA_012091855.2,Clinical
GCA_011833915.1,Bovine
GCA_002195475.1,Bovine
GCA_012392045.2,Clinical
GCA_012824515.2,Clinical
GCA_012722755.2,Clinical
GCA_026671015.2,Produce
GCA_030761495.2,Avian
GCA_012778035.2,Bovine
GCA_012136965.2,Clinical
GCA_012017725.2,Clinical
GCA_011953435.2,Clinical
GCA_011860765.2,Clinical
GCA_011861605.2,Clinical
GCA_032499945.2,Clinical
GCA_012741275.1,Bovine
GCA_012438845.2,Clinical
GCA_012019445.2,Clinical
GCA_011840145.2,Clinical
GCA_025375455.2,Clinical
GCA_012369445.2,Clinical
GCA_015286565.2,Bovine
GCA_000747455.1,Bovine
GCA_015699465.1,Clinical
GCA_012777515.2,Clinical
GCA_017268535.2,Clinical
GCA_030722125.2,Bovine
GCA_012750655.2,Clinical
GCA_047802525.1,Clinical
GCA_029714465.3,Bovine
GCA_014559605.2,Bovine
GCA_025305355.2,Clinical
GCA_012829095.2,Bovine
GCA_012717695.2,Clinical
GCA_020381505.2,Clinical
GCA_012714745.2,Clinical
GCA_012302805.2,Clinical
GCA_012266065.2,Clinical
GCA_012260345.1,Clinical
GCA_014955645.2,Clinical
GCA_023003305.2,Clinical
GCA_020914765.2,Produce
GCA_020914705.2,Produce
GCA_020979445.2,Produce
GCA_020978845.2,Produce
GCA_020979465.2,Produce
GCA_021003695.2,Produce
GCA_021005645.2,Clinical
GCA_024891135.2,Clinical
GCA_011830295.2,Bovine
GCA_013685255.2,Clinical
GCA_014387465.2,Clinical
GCA_021184915.2,Clinical
GCA_042153485.2,Clinical
GCA_047838695.1,Clinical
GCA_017759235.2,Clinical
GCA_017683585.2,Bovine
GCA_028667335.2,Clinical
GCA_029825875.2,Bovine
GCA_031589575.2,Clinical
GCA_029585815.1,Bovine
GCA_032830935.1,Clinical
GCA_031545225.1,Clinical
GCA_031997305.1,Clinical
GCA_012425765.2,Bovine
GCA_012144365.2,Clinical
GCA_012047315.2,Clinical
GCA_014096495.2,Bovine
GCA_014242775.2,Bovine
GCA_014455235.2,Clinical
GCA_015202325.2,Clinical
GCA_011817985.2,Bovine
GCA_014979465.2,Clinical
GCA_012020605.2,Bovine
GCA_019347555.2,Bovine
GCA_019544495.2,Clinical
GCA_019681615.2,Clinical
GCA_020041825.2,Clinical
GCA_020349605.2,Clinical
GCA_012211705.2,Clinical
GCA_012025385.2,Clinical
GCA_011957145.2,Clinical
GCA_029128165.2,Bovine
GCA_027996165.2,Bovine
GCA_027917935.2,Bovine
GCA_029648545.2,Bovine
GCA_032439805.2,Clinical
GCA_040723375.2,Clinical
GCA_019785505.2,Clinical
GCA_025616425.2,Bovine
GCA_037981075.2,Clinical
GCA_040337995.2,Clinical
GCA_024871825.2,Bovine
GCA_032367475.2,Clinical
GCA_037561345.2,Clinical
GCA_012808965.2,Bovine
GCA_012767535.2,Clinical
GCA_013705125.1,Bovine
GCA_016492925.1,Bovine
GCA_018621535.1,Clinical
GCA_032893465.2,Clinical
